"","NumCom","CodeClient","Vendeur","PaysLivraison","VilleLivraison","DateCommande","Montant","Port"
"281",281,"Bergs","Spirou","Suède","Luleå","11-juil-90"," 3 066,00   "," 334,60   "
"282",282,"Romey","Felix","Espagne","Madrid","11-juil-90"," 432,50   "," 48,25   "
"283",283,"Romey","Felix","Espagne","Madrid","12-juil-90"," 777,00   "," 100,70   "
"284",284,"Lillv","Tintin","Suède","Linköping","13-juil-90"," 7 074,00   "," 743,40   "
"285",285,"Lehms","Felix","Allemagne","Frankfurt a.M. ","16-juil-90"," 5 851,90   "," 592,19   "
"286",286,"Quick","Dupont","Norvège","Laurvig","17-juil-90"," 8 716,80   "," 908,68   "
"287",287,"Quick","Bill","Norvège","Laurvig","18-juil-90"," 15 080,00   "," 1 539,00   "
"288",288,"Richs","Bill","Royaume-Uni","London","19-juil-90"," 4 095,00   "," 418,50   "
"289",289,"Reggc","Felix","Italie","Reggio Emilia","20-juil-90"," 400,50   "," 76,05   "
"290",290,"Bsbev","Tartempion","Royaume-Uni","London","23-juil-90"," 2 397,00   "," 285,70   "
"291",291,"Comme","Bill","Royaume-Uni","London","24-juil-90"," 10 845,00   "," 1 123,50   "
"292",292,"Queee","Milou","Royaume-Uni","Harrogate","24-juil-90"," 2 487,60   "," 292,76   "
"293",293,"Tradm","Dupont","Royaume-Uni","London","25-juil-90"," 6 480,00   "," 682,00   "
"294",294,"Tortc","Dupont","Italie","Bologna","26-juil-90"," 4 243,50   "," 470,35   "
"295",295,"Rattc","Felix","Etats-Unis","Albuquerque","27-juil-90"," 9 438,00   "," 943,80   "
"296",296,"Vinet","Spirou","France","Reims","30-juil-90"," 608,00   "," 107,80   "
"297",297,"Lillv","Milou","Suède","Linköping","31-juil-90"," 5 253,00   "," 530,30   "
"298",298,"Blonp","Asterix","France","Strasbourg","01-août-90"," 7 100,00   "," 725,00   "
"299",299,"Hungo","Milou","Canada","Vancouver","02-août-90"," 13 225,00   "," 1 350,50   "
"300",300,"Richs","Felix","Royaume-Uni","London","03-août-90"," 1 747,50   "," 188,75   "
"301",301,"Magaa","Spirou","Italie","Bergamo","06-août-90"," 3 040,00   "," 344,00   "
"302",302,"Wandk","Bill","Allemagne","Stuttgart","06-août-90"," 3 775,00   "," 378,50   "
"303",303,"Suprd","Felix","Belgique","Charleroi","07-août-90"," 13 544,00   "," 1 384,40   "
"304",304,"Godet","Tartempion","Suède","Täby","08-août-90"," 5 589,00   "," 568,90   "
"305",305,"Tortc","Dupont","Italie","Bologna","09-août-90"," 4 772,00   "," 490,20   "
"306",306,"Oldwo","Bill","Etats-Unis","Anchorage","10-août-90"," 18 706,50   "," 1 898,65   "
"307",307,"Romey","Dupont","Espagne","Madrid","13-août-90"," 2 492,50   "," 261,25   "
"308",308,"Lonep","Spirou","Etats-Unis","Portland","14-août-90"," 2 120,00   "," 247,00   "
"309",309,"Anatl","Tartempion","Italie","Verona","15-août-90"," 444,00   "," 86,40   "
"310",310,"Hungo","Tintin","Canada","Vancouver","16-août-90"," 8 810,00   "," 911,00   "
"311",311,"Thebi","Bill","Etats-Unis","Portland","17-août-90"," 1 680,00   "," 198,00   "
"312",312,"Dumon","Dupont","France","Nantes","17-août-90"," 1 344,00   "," 149,40   "
"313",313,"Wandk","Spirou","Allemagne","Stuttgart","20-août-90"," 8 074,00   "," 830,40   "
"314",314,"Quick","Spirou","Norvège","Laurvig","21-août-90"," 912,00   "," 94,20   "
"315",315,"Rattc","Dupont","Etats-Unis","Albuquerque","22-août-90"," 10 471,50   "," 1 050,15   "
"316",316,"Islat","Felix","Royaume-Uni","Hedge End","23-août-90"," 2 584,00   "," 295,40   "
"317",317,"Rattc","Dupont","Etats-Unis","Albuquerque","24-août-90"," 14 175,00   "," 1 450,50   "
"318",318,"Lonep","Milou","Etats-Unis","Portland","27-août-90"," 1 440,00   "," 185,00   "
"319",319,"Islat","Bill","Royaume-Uni","Hedge End","28-août-90"," 1 202,00   "," 133,20   "
"320",320,"Tortc","Tartempion","Italie","Bologna","29-août-90"," 5 956,00   "," 631,60   "
"321",321,"Warth","Asterix","Finlande","Oulu","30-août-90"," 2 580,00   "," 291,00   "
"322",322,"Islat","Tintin","Royaume-Uni","Hedge End","30-août-90"," 720,00   "," 114,00   "
"323",323,"Peril","Tartempion","Italie","Milano","31-août-90"," 560,00   "," 101,00   "
"324",324,"Koene","Felix","Allemagne","Brandenburg","03-sept-90"," 822,00   "," 123,20   "
"325",325,"Savea","Obelix","Etats-Unis","Boise","04-sept-90"," 26 378,60   "," 2 643,86   "
"326",326,"Koene","Dupont","Allemagne","Brandenburg","05-sept-90"," 7 485,00   "," 756,50   "
"327",327,"Bolid","Felix","Suède","Halmstad","06-sept-90"," 4 910,00   "," 530,00   "
"328",328,"Folko","Spirou","Suède","Bräcke","07-sept-90"," 9 050,00   "," 924,00   "
"329",329,"Fujo","Felix","Portugal","Lisboa","10-sept-90"," 5 840,00   "," 591,00   "
"330",330,"Splir","Felix","Etats-Unis","Lander","11-sept-90"," 22 892,15   "," 2 331,22   "
"331",331,"Lillv","Tintin","Suède","Linköping","12-sept-90"," 8 245,00   "," 832,50   "
"332",332,"Bonap","Obelix","France","Marseille","12-sept-90"," 442,50   "," 93,25   "
"333",333,"Merep","Tintin","Canada","Montréal","13-sept-90"," 8 934,40   "," 924,44   "
"334",334,"Warth","Asterix","Finlande","Oulu","14-sept-90"," 4 386,00   "," 446,60   "
"335",335,"Victe","Bill","France","Lyon","17-sept-90"," 724,00   "," 101,40   "
"336",336,"Hungo","Tartempion","Canada","Vancouver","18-sept-90"," 10 180,80   "," 1 057,08   "
"337",337,"Prini","Tartempion","Portugal","Lisboa","19-sept-90"," 1 425,60   "," 191,56   "
"338",338,"Frank","Felix","Allemagne","München","20-sept-90"," 12 335,00   "," 1 240,50   "
"339",339,"Oldwo","Felix","Etats-Unis","Anchorage","21-sept-90"," 4 672,50   "," 480,25   "
"340",340,"Merep","Spirou","Canada","Montréal","24-sept-90"," 16 770,00   "," 1 689,00   "
"341",341,"Bonap","Dupont","France","Marseille","25-sept-90"," 12 180,90   "," 1 253,09   "
"342",342,"Simob","Tartempion","Danemark","København","25-sept-90"," 1 763,00   "," 188,30   "
"343",343,"Frank","Felix","Allemagne","München","26-sept-90"," 9 203,20   "," 956,32   "
"344",344,"Lehms","Felix","Allemagne","Frankfurt a.M. ","27-sept-90"," 7 920,00   "," 838,00   "
"345",345,"Whitc","Felix","Etats-Unis","Seattle","28-sept-90"," 11 480,00   "," 1 152,00   "
"346",346,"Quick","Spirou","Norvège","Laurvig","01-oct-90"," 14 624,00   "," 1 494,40   "
"347",347,"Rattc","Tintin","Etats-Unis","Albuquerque","02-oct-90"," 8 094,40   "," 856,44   "
"348",348,"Famia","Felix","France","Paris","03-oct-90"," 4 072,10   "," 452,21   "
"349",349,"Wandk","Felix","Allemagne","Stuttgart","04-oct-90"," 1 818,00   "," 200,80   "
"350",350,"Splir","Tartempion","Etats-Unis","Lander","05-oct-90"," 708,00   "," 95,80   "
"351",351,"Lamai","Milou","France","Toulouse","08-oct-90"," 3 210,30   "," 333,03   "
"352",352,"Ernsh","Dupont","Autriche","Graz","08-oct-90"," 26 993,65   "," 2 720,37   "
"353",353,"Fujo","Tintin","Portugal","Lisboa","09-oct-90"," 681,50   "," 95,15   "
"354",354,"Picco","Tartempion","Autriche","Salzburg","10-oct-90"," 42 966,40   "," 4 332,64   "
"355",355,"Peril","Bill","Italie","Milano","11-oct-90"," 2 844,00   "," 285,40   "
"356",356,"Arout","Milou","Royaume-Uni","Colchester","12-oct-90"," 2 400,00   "," 242,00   "
"357",357,"Wandk","Milou","Allemagne","Stuttgart","15-oct-90"," 5 532,00   "," 582,20   "
"358",358,"Lillv","Dupont","Suède","Linköping","16-oct-90"," 5 838,40   "," 629,84   "
"359",359,"Lamai","Asterix","France","Toulouse","17-oct-90"," 2 147,00   "," 255,70   "
"360",360,"Seves","Asterix","Royaume-Uni","London","18-oct-90"," 17 358,40   "," 1 743,84   "
"361",361,"Blonp","Felix","France","Strasbourg","19-oct-90"," 36 951,00   "," 3 695,10   "
"362",362,"Quick","Dupont","Norvège","Laurvig","19-oct-90"," 10 231,20   "," 1 028,12   "
"363",363,"Bonap","Tintin","France","Marseille","22-oct-90"," 7 748,00   "," 823,80   "
"364",364,"Drad","Felix","Allemagne","Aachen","23-oct-90"," 2 236,00   "," 267,60   "
"365",365,"Eastc","Dupont","Royaume-Uni","London","23-oct-90"," 4 750,00   "," 483,00   "
"366",366,"Antob","Tintin","Italie","Brescia","24-oct-90"," 2 016,00   "," 205,60   "
"367",367,"Galed","Bill","Espagne","Barcelona","25-oct-90"," 680,00   "," 113,00   "
"368",368,"Vaffe","Tartempion","Danemark","Århus","25-oct-90"," 4 171,00   "," 435,10   "
"369",369,"Ernsh","Spirou","Autriche","Graz","26-oct-90"," 8 448,90   "," 867,89   "
"370",370,"Splir","Bill","Etats-Unis","Lander","29-oct-90"," 11 952,00   "," 1 196,20   "
"371",371,"Chops","Milou","Suisse","Bern","30-oct-90"," 5 588,00   "," 578,80   "
"372",372,"Lamai","Dupont","France","Toulouse","30-oct-90"," 364,80   "," 55,48   "
"373",373,"Queet","Asterix","Royaume-Uni","London","31-oct-90"," 46 054,50   "," 4 635,45   "
"374",374,"Hungo","Felix","Canada","Vancouver","01-nov-90"," 6 832,00   "," 687,20   "
"375",375,"Wolvh","Dupont","Royaume-Uni","London","01-nov-90"," 2 295,00   "," 262,50   "
"376",376,"Hungc","Tintin","Etats-Unis","Elgin","02-nov-90"," 1 690,00   "," 189,00   "
"377",377,"Merep","Dupont","Canada","Montréal","05-nov-90"," 1 995,00   "," 215,50   "
"378",378,"Seves","Dupont","Royaume-Uni","London","05-nov-90"," 4 318,00   "," 435,80   "
"379",379,"Folko","Asterix","Suède","Bräcke","06-nov-90"," 516,00   "," 85,60   "
"380",380,"Queee","Spirou","Royaume-Uni","Harrogate","07-nov-90"," 4 316,40   "," 460,64   "
"381",381,"Hungo","Bill","Canada","Vancouver","08-nov-90"," 6 569,10   "," 670,91   "
"382",382,"Lillv","Tintin","Suède","Linköping","08-nov-90"," 560,00   "," 95,00   "
"383",383,"Ernsh","Felix","Autriche","Graz","09-nov-90"," 14 500,00   "," 1 474,00   "
"384",384,"Arout","Bill","Royaume-Uni","Colchester","12-nov-90"," 4 495,00   "," 467,50   "
"385",385,"Bergs","Tintin","Suède","Luleå","12-nov-90"," 11 112,00   "," 1 155,20   "
"386",386,"Splir","Dupont","Etats-Unis","Lander","13-nov-90"," 3 456,00   "," 371,60   "
"387",387,"Famia","Obelix","France","Paris","14-nov-90"," 830,00   "," 98,00   "
"388",388,"Santg","Dupont","Norvège","Stavern","14-nov-90"," 5 292,00   "," 577,20   "
"389",389,"Seves","Spirou","Royaume-Uni","London","15-nov-90"," 6 144,00   "," 638,40   "
"390",390,"Bottm","Felix","Canada","Tsawassen","16-nov-90"," 9 164,00   "," 949,40   "
"391",391,"Ernsh","Milou","Autriche","Graz","19-nov-90"," 10 454,40   "," 1 061,44   "
"392",392,"Drad","Tintin","Allemagne","Aachen","19-nov-90"," 432,00   "," 50,20   "
"393",393,"Picco","Spirou","Autriche","Salzburg","20-nov-90"," 7 200,00   "," 748,00   "
"394",394,"Savea","Dupont","Etats-Unis","Boise","21-nov-90"," 12 784,75   "," 1 290,48   "
"395",395,"Hungc","Dupont","Etats-Unis","Elgin","21-nov-90"," 2 210,00   "," 243,00   "
"396",396,"Hildv","Milou","Suède","Uppsala","22-nov-90"," 10 614,60   "," 1 078,46   "
"397",397,"Frank","Dupont","Allemagne","München","23-nov-90"," 9 519,00   "," 961,90   "
"398",398,"Prini","Asterix","Portugal","Lisboa","23-nov-90"," 3 583,60   "," 360,36   "
"399",399,"Savea","Spirou","Etats-Unis","Boise","26-nov-90"," 12 528,00   "," 1 273,80   "
"400",400,"Vaffe","Bill","Danemark","Århus","27-nov-90"," 8 828,00   "," 907,80   "
"401",401,"Eastc","Dupont","Royaume-Uni","London","28-nov-90"," 15 315,00   "," 1 571,50   "
"402",402,"Rattc","Dupont","Etats-Unis","Albuquerque","28-nov-90"," 19 343,00   "," 1 948,30   "
"403",403,"Ernsh","Bill","Autriche","Graz","29-nov-90"," 13 567,50   "," 1 394,75   "
"404",404,"Ernsh","Felix","Autriche","Graz","30-nov-90"," 4 275,10   "," 433,51   "
"405",405,"Magaa","Spirou","Italie","Bergamo","30-nov-90"," 7 956,25   "," 813,63   "
"406",406,"Linad","Dupont","Suède","Svenstavik","03-déc-90"," 2 000,00   "," 226,00   "
"407",407,"Queet","Tartempion","Royaume-Uni","London","04-déc-90"," 9 153,90   "," 953,39   "
"408",408,"Ottk","Spirou","Allemagne","Köln","04-déc-90"," 5 970,00   "," 620,00   "
"409",409,"Folig","Bill","France","Lille","05-déc-90"," 8 112,00   "," 834,20   "
"410",410,"Oceaq","Tintin","Etats-Unis","Aloha","06-déc-90"," 1 596,00   "," 172,60   "
"411",411,"Bottm","Tintin","Canada","Tsawassen","07-déc-90"," 4 010,00   "," 426,00   "
"412",412,"Bottm","Obelix","Canada","Tsawassen","07-déc-90"," 4 834,00   "," 494,40   "
"413",413,"Warth","Bill","Finlande","Oulu","10-déc-90"," 1 674,00   "," 213,40   "
"414",414,"Lamai","Tintin","France","Toulouse","11-déc-90"," 10 616,00   "," 1 062,60   "
"415",415,"Famia","Spirou","France","Paris","11-déc-90"," 1 124,15   "," 156,42   "
"416",416,"Hungc","Tintin","Etats-Unis","Elgin","12-déc-90"," 512,00   "," 93,20   "
"417",417,"Warth","Bill","Finlande","Oulu","13-déc-90"," 3 600,00   "," 368,00   "
"418",418,"Simob","Felix","Danemark","København","13-déc-90"," 55 942,00   "," 5 634,20   "
"419",419,"Quick","Felix","Norvège","Laurvig","14-déc-90"," 9 074,00   "," 943,40   "
"420",420,"Ricsu","Felix","Suisse","Genève","17-déc-90"," 10 488,00   "," 1 072,80   "
"421",421,"Wellt","Tintin","Royaume-Uni","Sevenoaks","18-déc-90"," 8 539,20   "," 865,92   "
"422",422,"Queee","Bill","Royaume-Uni","Harrogate","18-déc-90"," 5 971,35   "," 625,14   "
"423",423,"Frans","Spirou","Italie","Torino","19-déc-90"," 249,00   "," 24,90   "
"424",424,"Gourf","Milou","France","Paris","20-déc-90"," 5 100,00   "," 531,00   "
"425",425,"Merep","Tartempion","Canada","Montréal","20-déc-90"," 45 972,80   "," 4 600,28   "
"426",426,"Lamai","Milou","France","Toulouse","21-déc-90"," 1 800,00   "," 191,00   "
"427",427,"Galed","Felix","Espagne","Barcelona","24-déc-90"," 1 691,00   "," 214,10   "
"428",428,"Picco","Felix","Autriche","Salzburg","24-déc-90"," 3 255,00   "," 336,50   "
"429",429,"Reggc","Tartempion","Italie","Reggio Emilia","25-déc-90"," 960,00   "," 127,00   "
"430",430,"Hungo","Tintin","Canada","Vancouver","26-déc-90"," 7 206,90   "," 732,69   "
"431",431,"Ernsh","Felix","Autriche","Graz","27-déc-90"," 24 496,00   "," 2 468,60   "
"432",432,"Bottm","Felix","Canada","Tsawassen","27-déc-90"," 9 461,25   "," 959,13   "
"433",433,"Splir","Tintin","Etats-Unis","Lander","28-déc-90"," 2 425,00   "," 267,50   "
"434",434,"Prini","Tintin","Portugal","Lisboa","31-déc-90"," 4 256,00   "," 463,60   "
"435",435,"Folko","Tintin","Suède","Bräcke","31-déc-90"," 1 605,60   "," 166,56   "
"436",436,"Consh","Bill","Royaume-Uni","London","01-janv-91"," 3 158,00   "," 319,80   "
"437",437,"Blonp","Tintin","France","Strasbourg","02-janv-91"," 9 972,60   "," 1 020,26   "
"438",438,"Warth","Bill","Finlande","Oulu","02-janv-91"," 1 965,00   "," 223,50   "
"439",439,"Tomsp","Tintin","Allemagne","Münster","03-janv-91"," 2 270,00   "," 231,00   "
"440",440,"Merep","Milou","Canada","Montréal","04-janv-91"," 5 390,00   "," 556,00   "
"441",441,"Savea","Felix","Etats-Unis","Boise","07-janv-91"," 24 620,70   "," 2 506,07   "
"442",442,"Oldwo","Tintin","Etats-Unis","Anchorage","07-janv-91"," 8 775,00   "," 909,50   "
"443",443,"Ernsh","Tintin","Autriche","Graz","08-janv-91"," 8 960,00   "," 924,00   "
"444",444,"Reggc","Bill","Italie","Reggio Emilia","09-janv-91"," 2 587,20   "," 288,72   "
"445",445,"Bergs","Tintin","Suède","Luleå","09-janv-91"," 5 158,50   "," 534,85   "
"446",446,"Bergs","Tintin","Suède","Luleå","10-janv-91"," 874,50   "," 98,45   "
"447",447,"Tomsp","Milou","Allemagne","Münster","11-janv-91"," 1 231,20   "," 170,12   "
"448",448,"Richs","Felix","Royaume-Uni","London","11-janv-91"," 4 572,00   "," 495,20   "
"449",449,"Rancv","Felix","Etats-Unis","Tacoma","14-janv-91"," 2 217,00   "," 250,70   "
"450",450,"Blonp","Tintin","France","Strasbourg","15-janv-91"," 9 191,00   "," 968,10   "
"451",451,"Victe","Bill","France","Lyon","16-janv-91"," 2 125,60   "," 247,56   "
"452",452,"Quick","Felix","Norvège","Laurvig","16-janv-91"," 19 248,30   "," 1 947,83   "
"453",453,"Savea","Bill","Etats-Unis","Boise","17-janv-91"," 10 092,50   "," 1 057,25   "
"454",454,"Arout","Dupont","Royaume-Uni","Colchester","18-janv-91"," 2 038,50   "," 246,85   "
"455",455,"Lamai","Felix","France","Toulouse","18-janv-91"," 1 656,00   "," 177,60   "
"456",456,"Warth","Bill","Finlande","Oulu","21-janv-91"," 13 420,00   "," 1 355,00   "
"457",457,"Koene","Bill","Allemagne","Brandenburg","22-janv-91"," 2 788,00   "," 284,80   "
"458",458,"Koene","Spirou","Allemagne","Brandenburg","22-janv-91"," 7 920,00   "," 808,00   "
"459",459,"Suprd","Tartempion","Belgique","Charleroi","23-janv-91"," 19 455,00   "," 1 963,50   "
"460",460,"Victe","Felix","France","Lyon","24-janv-91"," 8 296,00   "," 875,60   "
"461",461,"Folko","Bill","Suède","Bräcke","25-janv-91"," 880,50   "," 99,05   "
"462",462,"Lillv","Dupont","Suède","Linköping","25-janv-91"," 7 693,50   "," 796,35   "
"463",463,"Consh","Spirou","Royaume-Uni","London","28-janv-91"," 780,00   "," 84,00   "
"464",464,"Suprd","Asterix","Belgique","Charleroi","29-janv-91"," 3 566,50   "," 378,65   "
"465",465,"Fujo","Felix","Portugal","Lisboa","29-janv-91"," 8 046,40   "," 853,64   "
"466",466,"Vaffe","Dupont","Danemark","Århus","30-janv-91"," 12 590,00   "," 1 295,00   "
"467",467,"Comme","Felix","Royaume-Uni","London","31-janv-91"," 1 080,00   "," 125,00   "
"468",468,"Magaa","Bill","Italie","Bergamo","31-janv-91"," 1 176,00   "," 128,60   "
"469",469,"Koene","Tintin","Allemagne","Brandenburg","01-févr-91"," 3 588,00   "," 369,80   "
"470",470,"Whitc","Dupont","Etats-Unis","Seattle","04-févr-91"," 4 783,40   "," 490,34   "
"471",471,"Bonap","Felix","France","Marseille","05-févr-91"," 9 104,00   "," 936,40   "
"472",472,"Bsbev","Spirou","Royaume-Uni","London","05-févr-91"," 6 640,00   "," 691,00   "
"473",473,"Seves","Bill","Royaume-Uni","London","06-févr-91"," 5 184,00   "," 525,40   "
"474",474,"Islat","Dupont","Royaume-Uni","Hedge End","07-févr-91"," 1 152,00   "," 121,20   "
"475",475,"Peril","Asterix","Italie","Milano","07-févr-91"," 6 245,50   "," 665,55   "
"476",476,"Suprd","Obelix","Belgique","Charleroi","08-févr-91"," 7 525,90   "," 782,59   "
"477",477,"Hildv","Bill","Suède","Uppsala","11-févr-91"," 902,40   "," 136,24   "
"478",478,"Prini","Asterix","Portugal","Lisboa","11-févr-91"," 2 790,00   "," 320,00   "
"479",479,"Victe","Spirou","France","Lyon","12-févr-91"," 2 356,00   "," 277,60   "
"480",480,"Rattc","Tintin","Etats-Unis","Albuquerque","13-févr-91"," 52 478,00   "," 5 289,80   "
"481",481,"Folig","Milou","France","Lille","14-févr-91"," 3 780,00   "," 391,00   "
"482",482,"Richs","Bill","Royaume-Uni","London","14-févr-91"," 7 360,00   "," 752,00   "
"483",483,"Lazyk","Dupont","Etats-Unis","Walla Walla","15-févr-91"," 735,00   "," 98,50   "
"484",484,"Whitc","Tartempion","Etats-Unis","Seattle","18-févr-91"," 3 344,00   "," 337,40   "
"485",485,"Bsbev","Tintin","Royaume-Uni","London","18-févr-91"," 1 931,00   "," 200,10   "
"486",486,"Linad","Felix","Suède","Svenstavik","19-févr-91"," 7 920,00   "," 795,00   "
"487",487,"Hildv","Dupont","Suède","Uppsala","20-févr-91"," 6 360,00   "," 662,00   "
"488",488,"Queet","Spirou","Royaume-Uni","London","20-févr-91"," 4 448,50   "," 476,85   "
"489",489,"Frank","Bill","Allemagne","München","21-févr-91"," 7 560,00   "," 790,00   "
"490",490,"Picco","Milou","Autriche","Salzburg","22-févr-91"," 2 196,00   "," 224,60   "
"491",491,"Hildv","Tartempion","Suède","Uppsala","25-févr-91"," 15 816,00   "," 1 622,60   "
"492",492,"Fujo","Bill","Portugal","Lisboa","25-févr-91"," 1 297,55   "," 150,76   "
"493",493,"Bottm","Tintin","Canada","Tsawassen","26-févr-91"," 4 256,00   "," 472,60   "
"494",494,"Lamai","Felix","France","Toulouse","27-févr-91"," 3 042,00   "," 322,20   "
"495",495,"Comme","Felix","Royaume-Uni","London","27-févr-91"," 4 560,00   "," 462,00   "
"496",496,"Laugb","Tintin","Canada","Vancouver","28-févr-91"," 1 390,00   "," 160,00   "
"497",497,"Tradm","Tartempion","Royaume-Uni","London","01-mars-91"," 950,00   "," 104,00   "
"498",498,"Lehms","Tartempion","Allemagne","Frankfurt a.M. ","01-mars-91"," 6 903,00   "," 713,30   "
"499",499,"Hildv","Bill","Suède","Uppsala","04-mars-91"," 2 875,00   "," 331,50   "
"500",500,"Lillv","Felix","Suède","Linköping","05-mars-91"," 7 060,00   "," 712,00   "
"501",501,"Lamai","Milou","France","Toulouse","06-mars-91"," 2 616,30   "," 299,63   "
"502",502,"Blaus","Obelix","Allemagne","Mannheim","06-mars-91"," 745,00   "," 105,50   "
"503",503,"Peril","Spirou","Italie","Milano","07-mars-91"," 4 081,50   "," 452,15   "
"504",504,"Hungo","Milou","Canada","Vancouver","08-mars-91"," 10 242,50   "," 1 039,25   "
"505",505,"Whitc","Felix","Etats-Unis","Seattle","08-mars-91"," 6 942,50   "," 729,25   "
"506",506,"Merep","Tintin","Canada","Montréal","11-mars-91"," 739,50   "," 106,95   "
"507",507,"Koene","Obelix","Allemagne","Brandenburg","12-mars-91"," 2 079,00   "," 239,90   "
"508",508,"Antob","Tartempion","Italie","Brescia","12-mars-91"," 3 745,30   "," 419,53   "
"509",509,"Ottk","Dupont","Allemagne","Köln","13-mars-91"," 1 200,00   "," 156,00   "
"510",510,"Blaus","Felix","Allemagne","Mannheim","14-mars-91"," 684,00   "," 81,40   "
"511",511,"Savea","Milou","Etats-Unis","Boise","15-mars-91"," 23 537,70   "," 2 386,77   "
"512",512,"Bonap","Felix","France","Marseille","15-mars-91"," 12 750,00   "," 1 322,00   "
"513",513,"Famia","Tartempion","France","Paris","18-mars-91"," 2 626,50   "," 272,65   "
"514",514,"Wandk","Tartempion","Allemagne","Stuttgart","19-mars-91"," 9 710,00   "," 986,00   "
"515",515,"Ernsh","Tintin","Autriche","Graz","19-mars-91"," 43 117,25   "," 4 343,73   "
"516",516,"Quick","Spirou","Norvège","Laurvig","20-mars-91"," 49 606,50   "," 4 994,65   "
"517",517,"Hungo","Spirou","Canada","Vancouver","21-mars-91"," 11 905,25   "," 1 191,53   "
"518",518,"Norts","Tintin","Royaume-Uni","London","21-mars-91"," 1 760,00   "," 184,00   "
"519",519,"Tortc","Felix","Italie","Bologna","22-mars-91"," 20 750,25   "," 2 075,03   "
"520",520,"Chops","Milou","Suisse","Bern","25-mars-91"," 11 571,00   "," 1 168,10   "
"521",521,"Santg","Tartempion","Norvège","Stavern","26-mars-91"," 1 000,00   "," 114,00   "
"522",522,"Cactp","Bill","Etats-Unis","Albuquerque","26-mars-91"," 1 127,50   "," 148,75   "
"523",523,"Lehms","Felix","Allemagne","Frankfurt a.M. ","27-mars-91"," 11 591,20   "," 1 200,12   "
"524",524,"Seves","Tartempion","Royaume-Uni","London","28-mars-91"," 12 221,55   "," 1 251,16   "
"525",525,"Bergs","Dupont","Suède","Luleå","28-mars-91"," 15 963,25   "," 1 607,33   "
"526",526,"Bonap","Dupont","France","Marseille","29-mars-91"," 4 092,00   "," 426,20   "
"527",527,"Warth","Felix","Finlande","Oulu","01-avr-91"," 5 757,00   "," 582,70   "
"528",528,"Quick","Tartempion","Norvège","Laurvig","01-avr-91"," 7 515,00   "," 773,50   "
"529",529,"Greal","Milou","Etats-Unis","Eugene","02-avr-91"," 1 961,00   "," 222,10   "
"530",530,"Maisd","Asterix","Belgique","Bruxelles","03-avr-91"," 4 730,00   "," 510,00   "
"531",531,"Picco","Tintin","Autriche","Salzburg","04-avr-91"," 20 900,00   "," 2 123,00   "
"532",532,"Oceaq","Tartempion","Etats-Unis","Aloha","04-avr-91"," 550,00   "," 84,00   "
"533",533,"Eastc","Tartempion","Royaume-Uni","London","05-avr-91"," 3 981,75   "," 421,18   "
"534",534,"Folko","Bill","Suède","Bräcke","08-avr-91"," 11 111,00   "," 1 128,10   "
"535",535,"Lehms","Bill","Allemagne","Frankfurt a.M. ","08-avr-91"," 2 328,50   "," 270,85   "
"536",536,"Antob","Felix","Italie","Brescia","09-avr-91"," 9 704,25   "," 994,43   "
"537",537,"Lehms","Tintin","Allemagne","Frankfurt a.M. ","10-avr-91"," 8 225,00   "," 871,50   "
"538",538,"Ricsu","Dupont","Suisse","Genève","10-avr-91"," 9 119,00   "," 951,90   "
"539",539,"Bsbev","Obelix","Royaume-Uni","London","11-avr-91"," 699,00   "," 103,90   "
"540",540,"Bsbev","Milou","Royaume-Uni","London","12-avr-91"," 1 777,50   "," 186,75   "
"541",541,"Quick","Tintin","Norvège","Laurvig","15-avr-91"," 50 958,50   "," 5 113,85   "
"542",542,"Hanop","Spirou","Royaume-Uni","London","15-avr-91"," 9 732,60   "," 987,26   "
"543",543,"Koene","Dupont","Allemagne","Brandenburg","16-avr-91"," 2 345,55   "," 242,56   "
"544",544,"Lillv","Bill","Suède","Linköping","17-avr-91"," 7 522,50   "," 793,25   "
"545",545,"Lonep","Felix","Etats-Unis","Portland","17-avr-91"," 2 086,00   "," 253,60   "
"546",546,"Lazyk","Bill","Etats-Unis","Walla Walla","18-avr-91"," 1 050,00   "," 115,00   "
"547",547,"Victe","Dupont","France","Lyon","19-avr-91"," 14 060,00   "," 1 412,00   "
"548",548,"Seves","Tintin","Royaume-Uni","London","19-avr-91"," 8 964,00   "," 916,40   "
"549",549,"Tomsp","Tintin","Allemagne","Münster","22-avr-91"," 1 200,50   "," 130,05   "
"550",550,"Quick","Asterix","Norvège","Laurvig","23-avr-91"," 17 771,40   "," 1 814,14   "
"551",551,"Godet","Tartempion","Suède","Täby","24-avr-91"," 3 416,50   "," 364,65   "
"552",552,"Fujo","Felix","Portugal","Lisboa","24-avr-91"," 8 386,50   "," 840,65   "
"553",553,"Hildv","Spirou","Suède","Uppsala","25-avr-91"," 4 402,50   "," 483,25   "
"554",554,"Warth","Spirou","Finlande","Oulu","26-avr-91"," 7 731,50   "," 799,15   "
"555",555,"Ottk","Felix","Allemagne","Köln","26-avr-91"," 8 642,65   "," 900,27   "
"556",556,"Savea","Milou","Etats-Unis","Boise","29-avr-91"," 14 722,00   "," 1 502,20   "
"557",557,"Simob","Spirou","Danemark","København","30-avr-91"," 4 176,00   "," 435,60   "
"558",558,"Lehms","Obelix","Allemagne","Frankfurt a.M. ","30-avr-91"," 5 762,50   "," 603,25   "
